student_id,age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score,productivity_score,productivity_label,stress_level
S1000,23,Female,0.0,1.2,1.1,No,85.0,8.0,Fair,6,Master,Average,8,Yes,56.2,0.0,Low,5
S1001,20,Female,6.9,2.8,2.3,No,97.3,4.6,Good,6,High School,Average,8,No,100.0,76.52596718352885,High,4
S1002,21,Male,1.4,3.1,1.3,No,94.8,8.0,Poor,1,High School,Poor,1,No,34.3,91.37064135006294,High,2
S1003,23,Female,1.0,3.9,1.0,No,71.0,9.2,Poor,4,Master,Good,1,Yes,26.8,93.14368458457221,High,3
S1004,19,Female,5.0,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,73.49932548702411,Medium,3
S1005,24,Male,7.2,1.3,0.0,No,82.9,7.4,Fair,1,Master,Average,4,No,100.0,75.06477912227038,High,3
S1006,21,Female,5.6,1.5,1.4,Yes,85.8,6.5,Good,2,Master,Poor,4,No,89.8,79.88232549243341,High,4
S1007,21,Female,4.3,1.0,2.0,Yes,77.7,4.6,Fair,0,Bachelor,Average,8,No,72.6,81.5179850757977,High,5
S1008,23,Female,4.4,2.2,1.7,No,100.0,7.1,Good,3,Bachelor,Good,1,No,78.9,83.35702229824844,High,5
S1009,18,Female,4.8,3.1,1.3,No,95.4,7.5,Good,5,Bachelor,Good,10,Yes,100.0,87.5485528555877,High,2
S1010,19,Female,4.6,3.7,0.8,No,77.6,5.8,Fair,1,,Good,3,No,63.3,74.74350805352043,Medium,3
S1011,23,Male,3.9,2.4,2.5,No,71.7,7.9,Fair,2,Bachelor,Average,1,No,74.4,85.15774948351034,High,1
S1012,19,Female,3.7,2.1,0.4,Yes,81.1,4.5,Fair,1,Bachelor,Good,9,No,76.9,87.48670339175126,High,5
S1013,19,Female,3.4,2.7,2.7,No,89.3,4.7,Fair,4,Bachelor,Good,10,No,75.8,89.24082992392952,High,4
S1014,24,Male,2.4,1.5,0.7,No,87.4,6.7,Poor,6,Bachelor,Average,9,No,78.9,96.26528994649384,High,5
S1015,21,Male,3.1,5.0,1.0,No,97.5,6.5,Good,6,High School,Average,7,No,74.0,90.81039079251715,High,5
S1016,20,Male,1.0,0.6,0.2,No,92.9,5.6,Poor,3,High School,Poor,8,Yes,55.2,99.59941520579095,High,3
S1017,24,Female,3.4,2.7,1.2,No,94.7,7.5,Poor,0,High School,Average,1,Yes,70.8,87.53633956853855,High,2
S1018,24,Other,2.0,4.9,2.9,Yes,88.3,7.1,Good,2,High School,Good,5,No,43.9,88.86414384950874,High,5
S1019,19,Male,1.8,2.5,2.4,No,71.1,7.5,Fair,1,High School,Average,2,No,45.3,91.92717470664088,High,1
S1020,22,Female,3.8,2.3,2.9,No,83.0,6.4,Good,3,Master,Good,1,No,58.5,78.5506036716493,High,3
S1021,21,Male,5.6,2.1,2.4,No,95.6,7.2,Fair,1,High School,Good,3,No,82.5,77.08123745344072,High,5
S1022,18,Other,4.9,2.3,0.6,No,84.5,6.0,Fair,3,High School,Average,7,No,98.7,86.65843337560975,High,4
S1023,24,Female,1.1,4.1,1.4,Yes,90.0,9.0,Fair,6,Bachelor,Good,1,No,43.7,98.11779697376203,High,4
S1024,20,Female,2.0,0.0,0.9,Yes,81.8,5.5,Fair,4,Bachelor,Average,2,No,54.9,93.5751699055497,High,5
S1025,22,Male,4.9,4.3,3.3,No,74.7,9.0,Fair,1,High School,Average,2,Yes,69.9,75.98593804056617,High,1
S1026,22,Male,2.0,0.8,0.5,No,83.8,6.5,Good,4,Bachelor,Poor,4,No,73.5,97.46505944772751,High,5
S1027,18,Male,3.2,2.2,2.8,Yes,88.1,4.8,Fair,5,Bachelor,Average,3,No,71.1,89.15943424589054,High,2
S1028,24,Male,4.3,2.0,2.8,Yes,78.4,8.1,Good,5,High School,Poor,3,Yes,82.8,85.42090299805923,High,4
S1029,20,Female,2.0,3.2,3.8,Yes,82.6,6.7,Poor,6,High School,Poor,10,Yes,75.7,97.72911372232687,High,2
S1030,21,Female,3.7,0.6,1.3,No,75.6,7.5,Fair,2,Master,Average,5,No,70.6,85.16391961458606,High,5
S1031,17,Other,1.5,3.1,2.6,Yes,96.2,8.0,Fair,4,Bachelor,Average,3,Yes,51.3,96.72875650609802,High,5
S1032,20,Other,2.6,4.9,4.3,No,82.1,6.9,Good,3,Bachelor,Good,7,No,52.1,86.51842373650136,High,5
S1033,18,Female,4.0,0.9,1.1,No,99.5,5.8,Poor,2,,Average,5,No,70.7,82.9240645968084,High,1
S1034,22,Female,1.1,2.7,0.1,No,100.0,7.7,Fair,1,High School,Good,4,No,51.2,99.0481761269026,High,1
S1035,21,Female,4.2,1.7,0.0,Yes,84.2,6.5,Good,1,Bachelor,Average,3,No,72.6,82.24621455986741,High,2
S1036,20,Female,3.5,3.0,2.6,No,74.9,7.3,Fair,3,High School,Good,4,No,70.7,86.73445349198784,High,5
S1037,17,Male,4.3,2.5,0.0,Yes,64.1,3.9,Good,0,High School,Average,2,No,59.4,74.87722419840775,Medium,5
S1038,17,Male,3.8,1.7,1.4,No,70.3,7.0,Poor,0,Bachelor,Good,1,No,58.1,78.32362803961452,High,3
S1039,19,Male,5.5,3.1,2.3,No,71.3,5.7,Good,1,High School,Average,3,No,82.3,77.60569804205049,High,3
S1040,19,Female,3.7,4.7,2.0,No,98.8,8.5,Good,6,Bachelor,Good,2,No,69.7,84.7986171269464,High,5
S1041,23,Female,2.9,2.3,2.3,No,86.2,7.2,Good,6,Bachelor,Average,1,No,66.0,89.72916714027764,High,4
S1042,18,Male,3.7,3.4,2.0,No,88.9,6.8,Fair,3,High School,Poor,1,Yes,63.5,82.02550210367548,High,5
S1043,24,Female,4.3,0.9,3.2,No,62.8,7.1,Poor,0,Bachelor,Good,2,No,65.7,78.30106438715944,High,3
S1044,20,Female,3.6,1.4,0.8,No,73.0,5.3,Good,4,High School,Poor,9,No,78.5,88.70212527684554,High,4
S1045,20,Male,3.6,3.1,1.1,No,93.9,8.4,Fair,1,Bachelor,Average,5,Yes,75.1,87.58309221522484,High,5
S1046,24,Male,2.4,4.3,1.0,No,87.9,8.9,Poor,5,High School,Average,9,Yes,71.0,94.80946459546008,High,3
S1047,23,Female,2.5,2.9,2.7,No,83.5,7.0,Good,4,,Good,8,Yes,59.7,90.81868733731383,High,5
S1048,22,Female,1.4,2.1,2.8,No,90.6,8.4,Fair,3,Bachelor,Good,6,No,52.6,97.66496395263535,High,1
S1049,22,Female,6.1,2.5,2.3,No,100.0,5.8,Poor,5,High School,Average,1,No,96.5,79.44297004164945,High,3
S1050,23,Female,1.6,1.0,3.1,No,82.8,5.5,Fair,4,Master,Good,10,Yes,62.0,97.92456621263003,High,2
S1051,22,Female,2.5,3.2,0.5,No,85.7,6.5,Poor,0,High School,Average,5,No,59.7,90.81868733731383,High,2
S1052,19,Female,2.4,3.6,3.6,No,86.9,7.0,Fair,6,High School,Average,1,No,48.4,86.69016122419282,High,1
S1053,20,Female,4.8,2.0,3.5,No,100.0,6.0,Good,0,Bachelor,Good,7,Yes,70.6,77.0266039571199,High,5
S1054,23,Female,3.1,1.9,2.6,Yes,64.0,7.1,Fair,5,High School,Good,10,No,68.1,88.88388349749067,High,5
S1055,20,Male,5.4,2.8,3.8,No,91.8,6.9,Good,2,High School,Good,8,No,87.2,80.10724945429988,High,3
S1056,24,Male,2.5,2.0,0.0,No,83.9,5.3,Good,6,Bachelor,Average,8,No,66.7,93.06091316432023,High,2
S1057,17,Male,3.9,2.4,1.2,No,90.7,7.1,Good,1,Bachelor,Average,7,Yes,75.2,85.45910451667366,High,5
S1058,19,Female,2.2,5.0,1.0,No,78.4,7.5,Poor,5,Master,Average,2,Yes,46.4,87.8651767119979,High,4
S1059,21,Female,6.7,2.2,2.6,No,84.5,6.7,Good,3,Master,Average,5,Yes,97.1,76.52545941180698,High,3
S1060,19,Female,1.7,2.1,0.6,Yes,92.1,7.9,Fair,1,High School,Average,4,No,61.2,97.26762775527075,High,3
S1061,23,Male,4.0,1.7,2.6,No,100.0,5.0,Fair,4,Bachelor,Good,5,No,75.0,84.66450331550716,High,5
S1062,21,Male,4.5,3.4,3.3,Yes,93.1,7.1,Good,6,High School,Good,10,No,94.7,87.80866148828316,High,1
S1063,17,Male,4.1,2.3,2.6,Yes,76.5,5.1,Fair,3,Bachelor,Average,9,No,77.6,84.93329625439058,High,3
S1064,23,Male,3.2,1.7,2.1,No,80.8,5.2,Good,3,High School,Poor,4,Yes,68.6,88.27855364120445,High,2
S1065,18,Female,3.3,4.1,0.7,No,80.5,5.7,Poor,0,Master,Good,8,No,69.6,87.8651767119979,High,4
S1066,20,Male,3.6,4.2,0.9,No,67.0,5.4,Good,4,Bachelor,Average,8,No,66.5,84.23254565929956,High,4
S1067,17,Male,3.3,1.8,3.2,No,81.7,5.8,Poor,0,Master,Good,2,No,62.2,84.81479344247798,High,4
S1068,20,Female,4.9,0.3,2.7,Yes,92.3,6.2,Good,0,Bachelor,Poor,6,No,82.1,81.27873615409554,High,2
S1069,22,Male,6.8,3.7,1.8,No,72.3,7.5,Poor,6,Master,Average,5,No,100.0,77.02097253269832,High,5
S1070,18,Female,2.7,1.7,1.3,No,95.5,6.1,Poor,2,Bachelor,Good,2,Yes,59.7,89.04211734025738,High,5
S1071,18,Female,1.4,3.4,0.0,No,89.9,4.6,Fair,0,High School,Poor,10,Yes,55.1,98.04682569013697,High,4
S1072,17,Male,3.4,0.1,0.6,No,77.7,7.9,Fair,1,High School,Average,4,Yes,77.1,89.64444462246436,High,2
S1073,18,Female,7.4,3.6,3.9,No,83.6,5.5,Fair,3,High School,Average,7,Yes,97.7,73.29368870087045,Medium,2
S1074,21,Female,2.3,1.0,0.4,No,100.0,6.4,Fair,6,,Good,1,No,66.9,94.54531684704133,High,3
S1075,18,Female,6.0,3.4,2.0,Yes,92.3,7.0,Fair,0,Bachelor,Good,9,Yes,99.9,81.0809342018018,High,5
S1076,20,Male,6.0,2.5,2.9,No,85.1,6.7,Poor,5,Bachelor,Average,10,Yes,100.0,81.11243971624383,High,5
S1077,20,Female,2.7,1.4,0.4,No,82.6,7.8,Fair,1,Bachelor,Poor,1,No,57.2,87.97904150666878,High,4
S1078,23,Female,4.4,2.0,2.0,Yes,85.8,7.1,Good,4,Master,Good,5,No,77.3,82.74068488884873,High,4
S1079,20,Male,5.9,3.3,2.8,Yes,79.9,5.5,Good,3,Master,Average,7,No,91.6,78.82909542976253,High,5
S1080,23,Male,2.9,2.6,1.8,No,64.0,9.1,Good,6,High School,Good,8,No,70.7,91.26586290619996,High,3
S1081,20,Other,3.2,3.2,5.0,No,100.0,6.7,Good,5,High School,Poor,2,No,57.6,83.47011117784135,High,5
S1082,21,Female,2.6,4.9,0.0,Yes,86.6,6.3,Fair,6,High School,Poor,4,No,60.2,90.12717956874609,High,1
S1083,24,Male,2.0,0.6,3.0,No,89.0,7.7,Poor,6,High School,Good,2,Yes,50.5,91.99416872132795,High,4
S1084,23,Female,2.5,4.4,1.6,No,84.4,6.8,Fair,5,Bachelor,Average,4,No,51.3,87.1522308921125,High,2
S1085,19,Male,1.7,2.6,2.6,No,77.6,7.0,Good,4,Bachelor,Good,6,No,53.5,95.70216519372883,High,3
S1086,22,Male,3.6,1.4,2.3,No,83.1,9.5,Good,5,Bachelor,Poor,6,No,79.2,88.9196841637666,High,2
S1087,17,Male,2.3,0.9,1.0,No,69.0,6.2,Fair,1,Master,Average,2,Yes,47.2,87.15446509245604,High,5
S1088,20,Male,3.9,2.3,2.1,No,100.0,6.1,Poor,6,Bachelor,Good,4,No,73.4,84.77225787765312,High,5
S1089,18,Male,1.2,3.6,0.0,No,72.7,6.6,Poor,4,High School,Average,4,Yes,41.1,96.74507190108966,High,2
S1090,24,Male,4.0,2.3,2.5,No,74.7,7.8,Fair,6,Bachelor,Good,1,No,77.8,85.7012776661907,High,2
S1091,20,Female,4.8,4.3,2.1,No,80.6,4.7,Fair,5,High School,Average,2,No,63.4,73.30872180562346,Medium,4
S1092,18,Male,0.5,0.8,2.5,Yes,97.9,4.1,Poor,4,High School,Good,3,No,43.9,99.98462219148013,High,4
S1093,22,Male,4.1,2.5,3.0,No,85.1,5.8,Good,4,,Good,5,No,70.2,81.95307944167764,High,2
S1094,22,Female,5.3,1.0,2.2,No,72.6,4.5,Fair,0,High School,Average,8,No,81.3,78.43206066838547,High,5
S1095,22,Male,1.7,2.9,2.0,No,97.5,6.0,Good,0,High School,Good,6,No,50.2,94.78140082021504,High,4
S1096,18,Female,6.0,3.6,0.8,No,92.3,7.1,Good,0,High School,Good,3,No,87.9,76.89220085226698,High,2
S1097,20,Male,4.1,2.0,1.0,No,90.4,5.4,Good,5,Bachelor,Average,6,No,80.9,86.09846237835683,High,3
S1098,22,Male,2.4,0.0,3.1,No,92.2,4.8,Good,3,Bachelor,Good,7,Yes,63.9,93.02264304035563,High,4
S1099,21,Male,3.4,2.7,3.4,No,100.0,6.6,Good,1,High School,Good,6,No,65.6,85.4766395106081,High,1
S1100,23,Male,4.3,3.0,1.5,No,100.0,7.5,Good,5,,Average,10,Yes,93.2,88.55299269009645,High,1
S1101,18,Male,3.6,3.0,1.9,No,78.1,4.5,Good,6,Bachelor,Average,6,No,74.0,87.19783073451471,High,4
S1102,18,Male,4.3,4.0,0.8,No,100.0,7.5,Fair,0,,Average,1,No,60.8,75.68200290012142,High,2
S1103,20,Male,2.1,1.2,3.1,No,88.8,7.5,Good,4,Master,Average,3,No,50.4,90.92820467105875,High,2
S1104,18,Male,3.8,3.3,2.5,No,90.0,7.6,Good,5,Bachelor,Good,7,No,74.3,85.84727722141352,High,3
S1105,18,Male,1.4,3.9,3.9,Yes,68.1,8.0,Good,4,High School,Average,4,Yes,32.8,90.39471907931733,High,3
S1106,22,Male,3.3,0.4,0.8,No,83.3,9.1,Good,6,High School,Good,4,Yes,82.3,91.74160059560029,High,5
S1107,20,Male,2.1,2.9,1.4,No,76.9,6.1,Fair,4,,Average,7,No,60.4,94.36509826054967,High,1
S1108,22,Female,2.4,1.9,2.1,No,93.3,6.6,Poor,4,High School,Average,9,Yes,60.0,91.79150013761011,High,3
S1109,23,Female,5.4,2.4,2.5,No,95.7,6.0,Fair,2,High School,Good,2,No,77.5,76.19287273404346,High,2
S1110,24,Male,5.1,2.9,1.6,No,64.3,6.5,Fair,3,Bachelor,Average,9,Yes,86.5,81.65986634149527,High,3
S1111,23,Female,4.4,1.9,0.8,No,84.8,8.3,Good,1,High School,Average,3,No,76.9,82.58306666324536,High,4
S1112,24,Female,1.9,1.7,2.8,No,96.2,4.9,Fair,1,Bachelor,Poor,6,Yes,43.9,90.07909774586489,High,5
S1113,22,Male,3.0,2.5,2.6,No,83.1,5.5,Fair,0,Bachelor,Average,4,No,51.3,81.91342073828778,High,4
S1114,23,Female,5.3,1.2,0.8,No,92.3,8.2,Fair,2,High School,Average,1,No,83.3,79.23078021262782,High,5
S1115,20,Female,3.7,1.2,3.3,No,88.5,7.7,Poor,5,,Good,9,No,82.7,89.3022327565937,High,4
S1116,17,Male,7.0,3.3,3.1,No,88.4,6.1,Good,5,,Average,6,Yes,94.8,74.18683916621573,Medium,3
S1117,22,Male,4.1,1.1,1.9,No,82.3,7.5,Good,1,,Good,8,No,80.8,86.0645148063868,High,2
S1118,24,Female,3.8,3.3,1.9,No,72.8,6.9,Poor,3,Bachelor,Good,2,Yes,58.3,78.43741450708993,High,3
S1119,21,Female,3.0,3.1,2.4,Yes,73.8,8.3,Fair,4,High School,Average,7,No,66.3,89.02993514844886,High,2
S1120,24,Male,3.7,0.4,0.9,No,92.1,6.6,Fair,6,Bachelor,Average,6,No,87.9,90.7048337189656,High,3
S1121,21,Male,3.3,1.7,1.8,No,85.2,7.7,Poor,0,High School,Good,2,No,60.5,84.01202539203061,High,1
